prospect_id,month,channel,converted,age,gender,months_retained,package_price
1,1,facebook,False,58,m,,
2,1,tik-tok,True,25,m,4.0,135.74
3,1,tik-tok,False,33,m,,
4,1,google-ads,False,54,m,,
5,1,facebook,True,39,m,10.0,228.56
6,1,tik-tok,False,22,w,,
7,1,facebook,False,54,m,,
8,1,tik-tok,False,27,w,,
9,1,google-ads,False,35,w,,
10,1,facebook,False,33,m,,
11,1,tik-tok,True,29,m,3.0,180.37
12,1,google-ads,False,58,w,,
13,1,tik-tok,False,22,w,,
14,1,facebook,False,49,m,,
15,1,facebook,False,35,w,,
16,1,facebook,False,36,m,,
17,1,google-ads,True,59,w,4.0,261.39
18,1,tik-tok,False,26,m,,
19,1,tik-tok,False,18,w,,
20,1,facebook,False,48,w,,
21,1,google-ads,False,48,w,,
22,1,tik-tok,False,34,m,,
23,1,tik-tok,True,23,m,8.0,100.93
24,1,facebook,True,44,m,2.0,241.31
25,1,facebook,False,57,w,,
26,1,tik-tok,False,27,w,,
27,1,tik-tok,False,22,w,,
28,1,facebook,False,51,m,,
29,1,tik-tok,True,20,w,8.0,115.88
30,1,google-ads,False,50,m,,
31,1,google-ads,False,20,m,,
32,1,tik-tok,False,18,m,,
33,1,facebook,False,45,m,,
34,1,tik-tok,True,20,w,11.0,121.91
35,1,facebook,False,57,m,,
36,1,facebook,False,46,m,,
37,1,facebook,True,56,m,4.0,220.57
38,1,facebook,False,58,w,,
39,1,tik-tok,False,20,m,,
40,1,facebook,False,30,w,,
41,1,facebook,False,56,m,,
42,1,tik-tok,False,34,m,,
43,1,facebook,False,40,w,,
44,1,tik-tok,False,22,m,,
45,1,facebook,False,43,w,,
46,1,facebook,False,57,w,,
47,1,facebook,False,32,w,,
48,1,google-ads,True,42,m,5.0,260.57
49,1,facebook,False,31,w,,
50,1,google-ads,False,58,w,,
51,1,tik-tok,True,23,w,8.0,193.17
52,1,facebook,False,53,w,,
53,1,facebook,False,55,w,,
54,1,tik-tok,False,30,m,,
55,1,facebook,False,52,w,,
56,1,facebook,True,33,w,11.0,178.11
57,1,google-ads,True,47,m,3.0,155.63
58,1,google-ads,False,32,w,,
59,1,google-ads,False,23,m,,
60,1,google-ads,True,35,w,3.0,310.82
61,1,tik-tok,False,33,m,,
62,1,facebook,False,40,w,,
63,1,facebook,False,37,w,,
64,1,google-ads,False,20,m,,
65,1,google-ads,False,25,m,,
66,1,facebook,False,32,w,,
67,1,facebook,True,46,m,1.0,173.25
68,1,tik-tok,False,23,m,,
69,1,tik-tok,False,31,m,,
70,1,google-ads,False,18,w,,
71,1,facebook,False,34,m,,
72,1,facebook,True,49,m,12.0,203.61
73,1,tik-tok,False,32,w,,
74,1,facebook,True,56,w,7.0,180.21
75,1,google-ads,False,55,m,,
76,1,google-ads,True,29,w,10.0,228.93
77,1,facebook,False,42,w,,
78,1,facebook,True,42,w,5.0,226.64
79,1,facebook,False,47,m,,
80,1,facebook,False,49,m,,
81,1,facebook,False,57,w,,
82,1,tik-tok,True,22,w,11.0,107.24
83,1,facebook,True,35,m,11.0,208.27
84,1,facebook,False,42,m,,
85,1,facebook,False,47,w,,
86,1,tik-tok,False,19,w,,
87,1,facebook,False,59,w,,
88,1,tik-tok,False,24,w,,
89,1,facebook,False,50,m,,
90,1,tik-tok,True,18,w,1.0,173.67
91,1,facebook,False,46,w,,
92,1,facebook,False,52,m,,
93,1,tik-tok,False,22,w,,
94,1,facebook,False,54,w,,
95,1,tik-tok,False,26,w,,
96,1,tik-tok,True,27,m,4.0,143.63
97,1,tik-tok,True,28,m,10.0,162.32
98,1,google-ads,False,43,m,,
99,1,facebook,True,33,w,2.0,220.72
100,1,facebook,False,58,m,,
101,1,google-ads,True,23,w,5.0,172.95
102,1,facebook,False,35,w,,
103,1,facebook,False,50,w,,
104,1,google-ads,False,53,m,,
105,1,google-ads,False,49,w,,
106,1,facebook,True,58,m,4.0,184.61
107,1,tik-tok,False,25,m,,
108,1,tik-tok,True,30,m,11.0,164.87
109,1,facebook,False,37,w,,
110,1,facebook,True,39,w,3.0,186.73
111,1,tik-tok,False,23,w,,
112,1,facebook,False,58,w,,
113,1,tik-tok,False,34,m,,
114,1,facebook,True,45,w,10.0,178.37
115,1,tik-tok,False,26,w,,
116,1,tik-tok,True,22,w,1.0,171.69
117,1,facebook,False,42,w,,
118,1,tik-tok,False,26,m,,
119,1,tik-tok,False,23,w,,
120,1,tik-tok,True,20,w,10.0,196.07
121,1,facebook,False,39,m,,
122,1,tik-tok,False,33,w,,
123,1,facebook,False,37,m,,
124,1,google-ads,False,58,m,,
125,1,tik-tok,True,28,m,6.0,194.58
126,1,google-ads,True,53,w,8.0,237.0
127,1,tik-tok,False,29,m,,
128,1,facebook,False,52,w,,
129,1,tik-tok,True,27,w,5.0,190.36
130,1,google-ads,False,55,m,,
131,1,tik-tok,True,20,w,1.0,192.19
132,1,facebook,False,37,m,,
133,1,google-ads,False,29,w,,
134,1,facebook,False,48,w,,
135,1,google-ads,False,32,m,,
136,1,tik-tok,False,19,w,,
137,1,google-ads,False,47,m,,
138,1,tik-tok,False,22,m,,
139,1,google-ads,False,19,m,,
140,1,tik-tok,False,34,w,,
141,1,google-ads,False,53,w,,
142,1,facebook,False,36,m,,
143,1,google-ads,False,35,m,,
144,1,tik-tok,False,26,m,,
145,1,facebook,False,55,m,,
146,1,facebook,False,58,w,,
147,1,facebook,True,51,w,2.0,159.24
148,1,google-ads,False,41,m,,
149,1,facebook,False,58,w,,
150,1,tik-tok,False,32,m,,
151,1,google-ads,False,22,w,,
152,1,tik-tok,False,34,w,,
153,1,facebook,False,44,m,,
154,1,tik-tok,True,19,w,9.0,149.79
155,1,facebook,False,32,w,,
156,1,google-ads,False,55,w,,
157,1,facebook,False,55,m,,
158,1,tik-tok,False,32,m,,
159,1,google-ads,False,30,w,,
160,1,tik-tok,True,25,m,10.0,140.17
161,1,facebook,False,51,m,,
162,1,google-ads,False,23,w,,
163,1,google-ads,False,35,m,,
164,1,tik-tok,False,31,m,,
165,1,tik-tok,False,21,w,,
166,1,google-ads,False,43,m,,
167,1,facebook,False,38,m,,
168,1,facebook,True,40,m,4.0,206.92
169,1,facebook,False,38,w,,
170,1,tik-tok,False,24,w,,
171,1,facebook,False,48,m,,
172,1,facebook,False,34,w,,
173,1,facebook,False,54,m,,
174,1,google-ads,False,37,m,,
175,1,google-ads,False,24,m,,
176,1,facebook,False,59,w,,
177,1,google-ads,False,53,m,,
178,1,google-ads,False,20,w,,
179,1,tik-tok,False,33,m,,
180,1,tik-tok,False,32,w,,
181,1,tik-tok,False,20,w,,
182,1,facebook,False,49,w,,
183,1,tik-tok,False,18,w,,
184,1,google-ads,False,26,w,,
185,1,tik-tok,False,18,w,,
186,1,facebook,False,41,m,,
187,1,tik-tok,False,18,m,,
188,1,facebook,False,47,w,,
189,1,tik-tok,True,32,m,3.0,129.61
190,1,tik-tok,False,21,w,,
191,1,facebook,False,49,w,,
192,1,facebook,False,43,m,,
193,1,tik-tok,False,26,m,,
194,1,tik-tok,False,32,m,,
195,1,tik-tok,True,24,m,7.0,191.24
196,1,facebook,False,37,m,,
197,1,tik-tok,True,29,w,7.0,172.03
198,1,google-ads,False,54,m,,
199,1,google-ads,True,50,w,5.0,129.89
200,1,tik-tok,False,32,w,,
201,1,tik-tok,False,27,m,,
202,1,tik-tok,False,25,m,,
203,1,google-ads,True,19,w,10.0,111.63
204,1,facebook,False,36,w,,
205,1,google-ads,False,23,m,,
206,1,tik-tok,True,23,w,11.0,196.65
207,1,facebook,True,58,w,8.0,243.7
208,1,tik-tok,True,31,m,3.0,152.38
209,1,facebook,False,40,m,,
210,1,tik-tok,True,20,m,8.0,197.42
211,1,tik-tok,False,20,w,,
212,1,google-ads,False,49,m,,
213,1,tik-tok,True,33,m,2.0,186.64
214,1,google-ads,False,26,m,,
215,1,tik-tok,False,22,w,,
216,1,facebook,False,34,m,,
217,1,facebook,False,48,w,,
218,1,tik-tok,False,25,w,,
219,1,facebook,False,50,m,,
220,1,tik-tok,True,21,w,5.0,148.91
221,1,facebook,False,30,w,,
222,1,google-ads,False,53,w,,
223,1,facebook,True,52,w,9.0,189.77
224,1,tik-tok,False,31,w,,
225,1,tik-tok,False,18,m,,
226,1,facebook,False,46,w,,
227,1,facebook,False,38,w,,
228,1,google-ads,False,19,m,,
229,1,tik-tok,True,30,m,11.0,185.8
230,1,tik-tok,False,31,m,,
231,1,facebook,False,55,m,,
232,1,facebook,False,41,m,,
233,1,facebook,True,57,m,4.0,192.14
234,1,facebook,False,41,w,,
235,1,facebook,False,55,m,,
236,1,facebook,False,31,w,,
237,1,facebook,True,35,w,7.0,234.98
238,1,tik-tok,True,23,w,6.0,108.27
239,1,google-ads,False,28,w,,
240,1,tik-tok,False,18,w,,
241,1,facebook,False,51,w,,
242,1,tik-tok,False,31,w,,
243,1,tik-tok,False,23,m,,
244,1,google-ads,False,59,m,,
245,1,tik-tok,False,29,w,,
246,1,facebook,False,42,m,,
247,1,facebook,False,34,w,,
248,1,google-ads,False,58,w,,
249,1,facebook,False,54,m,,
250,1,tik-tok,True,21,w,11.0,146.06
251,1,tik-tok,False,29,w,,
252,1,tik-tok,False,21,w,,
253,1,tik-tok,True,34,m,7.0,142.55
254,1,facebook,False,39,w,,
255,1,facebook,False,48,w,,
256,1,tik-tok,False,20,w,,
257,1,facebook,False,55,w,,
258,1,tik-tok,False,22,m,,
259,1,facebook,True,49,m,1.0,209.64
260,1,facebook,True,46,m,9.0,159.06
261,1,google-ads,False,47,m,,
262,1,facebook,True,41,w,9.0,199.52
263,1,facebook,False,30,m,,
264,1,tik-tok,True,22,w,2.0,137.76
