canal,mes,dia_semana,semana,venta
Agencias,1,6,52,13843.68
WS - FIT,1,6,52,32520.59
WS - Other,1,6,52,16442.74
Agencias,1,0,1,177075.37000000002
WS - FIT,1,0,1,89681.08
WS - Other,1,0,1,3979.76
Agencias,1,1,1,8966.02
WS - FIT,1,1,1,63668.06
Agencias,1,2,1,2833.04
WS - FIT,1,2,1,3451.4400000000005
WS - FIT,1,3,1,7413.76
Agencias,1,4,1,18427.46
WS - FIT,1,4,1,29034.07
Agencias,1,5,1,32996.15
Charter,1,5,1,171460.33000000002
WS - FIT,1,5,1,82760.72
Agencias,1,6,1,42176.27
WS - FIT,1,6,1,35292.56
WS - Other,1,6,1,8725.08
WS - FIT,1,0,2,89657.86000000002
WS - Other,1,0,2,35993.729999999996
WS - FIT,1,1,2,12505.25
WS - FIT,1,2,2,13271.87
WS - FIT,1,3,2,31457.2
Agencias,1,4,2,12361.14
WS - FIT,1,4,2,37478.44
WS - Other,1,4,2,121835.62000000002
WS - FIT,1,5,2,15794.0
WS - Other,1,5,2,21808.8
Agencias,1,0,3,4075.1
WS - FIT,1,0,3,18962.43
WS - Other,1,0,3,974.0
Agencias,1,1,3,53439.3
WS - FIT,1,1,3,693.5
WS - Other,1,1,3,18155.940000000002
WS - FIT,1,2,3,10182.82
WS - Other,1,2,3,47242.560000000005
Agencias,1,3,3,8662.96
WS - FIT,1,3,3,15400.16
Agencias,1,4,3,27174.02
Charter,1,4,3,172384.75999999998
WS - FIT,1,4,3,91186.66999999998
Agencias,1,5,3,8958.880000000001
WS - FIT,1,5,3,20086.940000000002
WS - Other,1,5,3,18152.63
Agencias,1,6,3,15937.34
WS - FIT,1,6,3,1830.0
WS - FIT,1,0,4,53128.579999999994
WS - Other,1,0,4,38707.729999999996
WS - FIT,1,1,4,2328.5
Charter,1,2,4,172952.44
WS - FIT,1,2,4,7587.2
Agencias,1,3,4,21533.3
WS - FIT,1,3,4,36671.020000000004
WS - Other,1,3,4,7078.86
Agencias,1,4,4,32228.18
